"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 28 16:00:03 UTC 2024","Thu Mar 28 16:00:04 UTC 2024","621","","student.test.ts","Test suite for Student service","","","GET list of faculties",""
"passed","Thu Mar 28 16:00:04 UTC 2024","Thu Mar 28 16:00:05 UTC 2024","1645","","teacher.test.ts","Test suite for Teacher service","","","GET list of teachers for each departments",""
"passed","Thu Mar 28 16:00:04 UTC 2024","Thu Mar 28 16:00:05 UTC 2024","1192","","student.test.ts","Test suite for Student service","","","GET list of courses for each faculty",""
"passed","Thu Mar 28 16:00:41 UTC 2024","Thu Mar 28 16:00:59 UTC 2024","17552","","teacher.test.ts","Test suite for Teacher service","","","GET list of lessons for each departments and teachers (CURRENT and NEXT week)",""
"passed","Thu Mar 28 16:00:04 UTC 2024","Thu Mar 28 16:00:07 UTC 2024","3752","","student.test.ts","Test suite for Student service","","","GET list of groups for each faculty and course",""
"passed","Thu Mar 28 16:00:27 UTC 2024","Thu Mar 28 16:00:57 UTC 2024","29793","","student.test.ts","Test suite for Student service","","","GET list of lessons for each faculty, course and group (CURRENT and NEXT week)",""
"passed","Thu Mar 28 16:00:03 UTC 2024","Thu Mar 28 16:00:04 UTC 2024","573","","teacher.test.ts","Test suite for Teacher service","","","GET list of departments",""
